Username,Name,Contributions,Total Commits,Additions,Deletions,Profile URL,Type
enochCodes,Henok Samson,258,0,0,0,https://github.com/enochCodes,User
zemuumez,Zemichael Tefera,22,0,0,0,https://github.com/zemuumez,User
dependabot[bot],,2,0,0,0,https://github.com/apps/dependabot,Bot
